movie_id	imdb	title	year	path	start	end
big.mommas.hous_tt0421729	tt0421729	Big Momma's House 2	2006	/fake/path/for/movies.mp4		
obsessed_tt1198138	tt1198138	Obsessed	2009	/fake/path/for/movies.mp4		
philadelphia	tt0107818	Philadelphia	1994	/fake/path/for/movies.mp4		
wolverine	tt1430132	The Wolverine	2013	/fake/path/for/movies.mp4		
officer_and_a_gentleman	tt0084434	An Officer and a Gentleman	1982	/fake/path/for/movies.mp4		
stir_crazy	tt0081562	Stir Crazy	1980	/fake/path/for/movies.mp4		
no.time.to.die_tt2382320	tt2382320	No Time to Die	2021	/fake/path/for/movies.mp4		
grown_ups_2	tt2191701	Grown Ups 2	2013	/fake/path/for/movies.mp4		
just_go_with_it	tt1564367	Just Go with It	2011	/fake/path/for/movies.mp4		
son.in.law_tt0108186	tt0108186	Son in Law	1993	/fake/path/for/movies.mp4		
final.destinati_tt0195714	tt0195714	Final Destination	2000	/fake/path/for/movies.mp4		
race.to.witch.m_tt1075417	tt1075417	Race to Witch Mountain	2009	/fake/path/for/movies.mp4		
game_tt0119174	tt0119174	Game, The	1997	/fake/path/for/movies.mp4		
scary_movie_3	tt0306047	Scary Movie 3	2003	/fake/path/for/movies.mp4		
american.underd_tt11729298	tt11729298	American Underdog	2021	/fake/path/for/movies.mp4		
jurassic.world._tt8041270	tt8041270	Jurassic World Dominion	2022	/fake/path/for/movies.mp4		
kings.man_tt6856242	tt6856242	The King's Man	2021	/fake/path/for/movies.mp4		
schindlers_list	tt0108052	Schindler's List	1994	/fake/path/for/movies.mp4		
necessary.rough_tt0102517	tt0102517	Necessary Roughness	1991	/fake/path/for/movies.mp4		
blind_side	tt0878804	The Blind Side	2009	/fake/path/for/movies.mp4		
mask_1985	tt0089560	Mask	1985	/fake/path/for/movies.mp4		
insurgent	tt2908446	The Divergent Series: Insurgent	2015	/fake/path/for/movies.mp4		
